STOCK_NO	FULL_TITLE	MAIN_DESC	ISSUE_NO	PRICE	SHIP_DATE	PAGE	WRITER	ARTIST	EAN_NO
0125DC280	100 BULLETS TP BOOK 02 (2025 EDITION) (MR)	100 Bullets TP 2025 Edition	2	39.99	4/22/2025	101	Brian Azzarello	Eduardo Risso	978179950113853999
0125MA518	A LEGACY OF VIOLENCE COLLECTION TP (MR)	A Legacy of Violence Collection TP	1	29.99	3/5/2025	243	Cullen Bunn	Andrea Mutti	978154581601152999
0125DC020	ABSOLUTE BATMAN #6 CVR A NICK DRAGOTTA	Absolute Batman	6	4.99	3/12/2025	58	Scott Snyder	Nick Dragotta	76194138584600611
0125DC021	ABSOLUTE BATMAN #6 CVR B FRANK QUITELY CARD STOCK VAR	Absolute Batman	6	5.99	3/12/2025	58	Scott Snyder	Nick Dragotta	76194138584600621
0125DC022	ABSOLUTE BATMAN #6 CVR C SIMON BISLEY CARD STOCK VAR	Absolute Batman	6	5.99	3/12/2025	58	Scott Snyder	Nick Dragotta	76194138584600631
0125DC023	ABSOLUTE BATMAN #6 CVR D INC 1:25 JOHN MCCREA CARD STOCK VAR	Absolute Batman	6	5.99	3/12/2025	58	Scott Snyder	Nick Dragotta	76194138584600641
0125DC024	ABSOLUTE BATMAN #6 CVR E INC 1:50 ALEX MALEEV CARD STOCK VAR	Absolute Batman	6	5.99	3/12/2025	58	Scott Snyder	Nick Dragotta	76194138584600651
0125DC258	ABSOLUTE BATMAN DARK VICTORY HC (2025 EDITION)	Absolute Batman Dark Victory HC 2025 Edition	1	100.00	9/16/2025	93	Jeph Loeb	Tim Sale	978179950267859999
0125DC058	ABSOLUTE FLASH #1 CVR A NICK ROBLES	Absolute Flash	1	4.99	3/19/2025	62	Jeff Lemire	Nick Robles	76194138792500111
0125DC059	ABSOLUTE FLASH #1 CVR B CLAYTON CRAIN CARD STOCK VAR	Absolute Flash	1	5.99	3/19/2025	62	Jeff Lemire	Nick Robles	76194138792500121
