category_id,category
1,food & beverages > food > soups & broths
2,food & beverages > food > nuts & seeds
3,food & beverages > food > snacks & chips
4,food & beverages > food > meat substitutes
5,food & beverages > food > spices & seasonings
6,food & beverages > food > pasta & grains
7,food & beverages > food > prepared food & meal kits
8,food & beverages > food > candy & chocolate
9,food & beverages > food > dips & spreads
10,food & beverages > food > meat & seafood
11,food & beverages > food > bakery & bread
12,food & beverages > food > condiments & sauces
13,"food & beverages > food > dairy, eggs & cheese"
14,food & beverages > food > frozen food
15,food & beverages > food > baking ingredients
16,food & beverages > food > fruits & vegetables
17,food & beverages > food > breakfast & cereal
18,food & beverages > food
19,food & beverages > beverages > sports & energy drinks
20,food & beverages > beverages > juice
21,food & beverages > beverages > powdered beverage mixes
22,food & beverages > beverages > soda
23,food & beverages > beverages > water
24,food & beverages > beverages > coffee & tea
25,food & beverages > beverages > alcoholic beverages
26,food & beverages > beverages > milk
27,food & beverages > beverages
28,food & beverages
29,toys & games > outdoor toys
30,toys & games > stuffed animals & plush toys
31,toys & games > games > role playing games
32,toys & games > games > chess
33,toys & games > games > miniature & war games
34,toys & games > games > dice games
35,toys & games > games > tile games
36,toys & games > games > card games
37,toys & games > games > dexterity games
38,toys & games > games > board games
39,toys & games > games
40,toys & games > puzzles
41,toys & games > riding toys
42,toys & games > pretend play
43,toys & games > toy vehicles
44,toys & games > remote control toys
45,toys & games > educational toys
46,toys & games > dolls & doll houses
47,toys & games > building toys
48,toys & games > action figures
49,toys & games > electronic toys
50,toys & games
51,home improvement > home heating & cooling
52,home improvement > building supplies & hardware
53,home improvement > plumbing & fixtures
54,home improvement > tools > ladders & scaffolding
55,home improvement > tools > painting tools
56,home improvement > tools > power tools
57,home improvement > tools > measuring tools & sensors
58,home improvement > tools > air tools
59,home improvement > tools > hand tools
60,home improvement > tools
61,home improvement
62,sporting goods > sports equipment > ice & roller hockey
63,sporting goods > sports equipment > rugby
64,sporting goods > sports equipment > tennis & racquet sports
65,sporting goods > sports equipment > volleyball
66,sporting goods > sports equipment > golf
67,sporting goods > sports equipment > soccer
68,sporting goods > sports equipment > football
69,sporting goods > sports equipment > track & field
70,sporting goods > sports equipment > cricket
71,sporting goods > sports equipment > field hockey & lacrosse
72,sporting goods > sports equipment > boxing & martial arts
73,sporting goods > sports equipment > dance & gymnastics
74,sporting goods > sports equipment > baseball & softball
75,sporting goods > sports equipment > basketball
76,sporting goods > sports equipment
77,sporting goods > exercise & fitness > yoga & pilates
78,sporting goods > exercise & fitness > cardio equipment
79,sporting goods > exercise & fitness > weight lifting equipment
80,sporting goods > exercise & fitness
81,sporting goods > indoor games
82,sporting goods > outdoor recreation > fishing
